cluster,examples
0,"1. Пожилому человеку, получающему поддержку фонда, требуется электрик: необходимо заменить выключатель и проверить участок проводки. После выполнения нужен краткий отчёт для куратора. Ожидаемый результат — безопасно работающий участок электросети. Формат работы: очно.

2. Пожилому человеку в небольшом населённом пункте требуется специалист по уборке: необходимо провести генеральную уборку жилого помещения. Работа согласуется с подопечным и куратором фонда. Ожидаемый результат — убранное и безопасное жилое помещение. Формат работы: очно.

3. Пожилому жителю удалённого населённого пункта требуется электрик: необходимо заменить неисправную розетку и проверить подключение. Условия и стоимость заранее подтверждаются фондом. Ожидаемый результат — безопасно работающий участок электросети. Формат работы: очно.

4. Пожилому человеку в небольшом населённом пункте требуется помощник по участку: необходимо вскопать небольшой участок огорода. Работа согласуется с подопечным и куратором фонда. Ожидаемый результат — выполненные сезонные работы на участке. Формат работы: очно.

5. Пожилому жителю удалённого населённого пункта требуется помощник по хозяйству: необходимо выполнить несколько несложных работ по дому. Условия и стоимость заранее подтверждаются фондом. Ожидаемый результат — выполненные хозяйственные работы. Формат работы: очно.

6. Фонду, работающему с подопечными с ограниченной самостоятельностью, требуется фотограф: необходимо снять мероприятие с участием подопечных. Работа проводится под контролем назначенного представителя; участие каждого человека в съёмке допускается только после согласования. Ожидаемый результат — обработанная серия фотографий. Формат работы: очно.

7. Пожилому человеку в небольшом населённом пункте требуется электрик: необходимо заменить неисправную розетку и проверить подключение. Работа согласуется с подопечным и куратором фонда. Ожидаемый результат — безопасно работающий участок электросети. Формат работы: очно.

8. Пожилому жителю удалённого населённого пункта требуется специалист по уборке: необходимо провести генеральную уборку жилого помещения. Условия и стоимость заранее подтверждаются фондом. Ожидаемый результат — убранное и безопасное жилое помещение. Формат работы: очно.

9. Подопечному фонда в регионе требуется сборщик мебели: необходимо собрать необходимую бытовую мебель. Исполнителя подбирает фонд, а условия выполнения согласуются заранее. Ожидаемый результат — собранная и безопасно установленная мебель. Формат работы: очно.

10. Пожилому человеку в небольшом населённом пункте требуется исполнитель с грузовым транспортом: необходимо перевезти мебель и бытовые вещи. Работа согласуется с подопечным и куратором фонда. Ожидаемый результат — доставленные без повреждений вещи. Формат работы: очно.

11. Подопечному фонда в регионе требуется местный поставщик дров: необходимо организовать поставку дров в небольшой населённый пункт. Исполнителя подбирает фонд, а условия выполнения согласуются заранее. Ожидаемый результат — доставленные к дому дрова. Формат работы: очно.

12. Пожилому жителю удалённого населённого пункта требуется мастер по ремонту печей: необходимо провести диагностику печи и устранить неисправность. Условия и стоимость заранее подтверждаются фондом. Ожидаемый результат — исправная и безопасно работающая печь. Формат работы: очно.

13. Фонду, помогающему пожилым людям в небольших населённых пунктах, требуется фотограф: необходимо провести фотосъёмку работы фонда в нескольких населённых пунктах. Съёмка согласуется с участниками и куратором фонда; публикация изображений возможна только при наличии согласия. Ожидаемый результат — обработанная серия фотографий. Формат работы: очно.

14. Пожилому человеку в небольшом населённом пункте требуется выездной парикмахер: необходимо сделать аккуратную стрижку с учётом пожеланий подопечного. Работа согласуется с подопечным и куратором фонда. Ожидаемый результат — индивидуально выполненная стрижка. Формат работы: очно.

15. Пожилому человеку в небольшом населённом пункте требуется мастер по ремонту печей: необходимо провести диагностику печи и устранить неисправность. Работа согласуется с подопечным и куратором фонда. Ожидаемый результат — исправная и безопасно работающая печь. Формат работы: очно.

16. Подопечному фонда вдали от областного центра требуется мастер по адаптации жилого пространства: необходимо установить поручни в согласованных местах. Фонд заранее согласует исполнителя, дату и объём работ. Ожидаемый результат — более безопасное и доступное жилое пространство. Формат работы: очно.

17. Подопечному фонда в регионе требуется электрик: необходимо заменить выключатель и проверить участок проводки. Исполнителя подбирает фонд, а условия выполнения согласуются заранее. Ожидаемый результат — безопасно работающий участок электросети. Формат работы: очно.

18. Пожилому жителю удалённого населённого пункта требуется выездной парикмахер: необходимо сделать аккуратную стрижку с учётом пожеланий подопечного. Условия и стоимость заранее подтверждаются фондом. Ожидаемый результат — индивидуально выполненная стрижка. Формат работы: очно.

19. Пожилому человеку, получающему поддержку фонда, требуется помощник по хозяйству: необходимо помочь привести в порядок хозяйственные принадлежности. После выполнения нужен краткий отчёт для куратора. Ожидаемый результат — выполненные хозяйственные работы. Формат работы: очно.

20. Подопечному фонда с ограниченной самостоятельностью требуется специалист по уборке: необходимо выполнить сезонную глубокую уборку дома. Работа проводится под контролем назначенного представителя. Ожидаемый результат — убранное и безопасное жилое помещение. Формат работы: очно."
1,"1. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Пожилой человек в тяжелом состоянии не получает медицинскую помощь, несмотря на вызов скорой. Скорая отказывает, ссылаясь на отсутствие оснований. Также подопечный с деменцией не может получить статус инвалидности, несмотря на наличие доверенности. Помогите разобраться в правовых механизмах, которые позволят быстро получить помощь в обоих случаях. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

2. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Помогите проверить и отредактировать договоры с компаниями, участвующими в благотворительном мероприятии, а также подготовить рекомендации по защите прав пациентов в случае, если назначения выданы не по месту жительства. Формат: письменный ответ. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

3. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — консультация по компенсации расходов на проезд при получении медицинской помощи и по критериям участия НКО в программе субсидирования за счет бизнеса. Ответ должен быть письменным и содержать анализ правомерности действий страховой компании и критерии участия в программе. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

4. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Помощь в переходе опекунства от одного родственника к другому и поиск временного решения по уходу за недееспособным в случае болезни уходчика. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

5. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — письменная консультация по вопросам включения необходимых средств реабилитации в ИПРА, а также по вопросам доказательства причинно-следственной связи между нервным потрясением и заболеванием. Подопечная пережила сильное нервное потрясение, которое, по её мнению, могло спровоцировать заболевание. Также необходимо разъяснить, как добиться включения компрессионного рукава и бюстгатера в ИПРА, несмотря на отрицательное заключение врача МСЭ. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

6. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — составить и проверить договор на оказание услуг с самозанятым специалистом, чтобы обеспечить легальность оплаты с расчетного счета организации и привлечь дополнительные финансовые ресурсы. Договор должен соответствовать действующему законодательству и быть понятным для обеих сторон. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

7. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Фонд проводит онлайн-курсы для специалистов и собирает данные участников (ФИО, контактные данные, место работы). Для этого необходимо создать пользовательское соглашение и форму согласия на обработку персональных данных. Важно учесть, что данные будут использоваться для связи с участниками и отправки им материалов. Система регистрации отсутствует, данные передаются только для внутреннего использования. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

8. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Помогите разобраться с правомерностью отказа в выдаче социальной карты из-за временной регистрации и проконсультируйте по жилищным вопросам для выпускника детского дома. Подопечные находятся в группе риска, и своевременная юридическая поддержка поможет избежать социального неблагополучия. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

9. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — подготовить договор на оказание услуг с ИП-специалистом и дополнительное соглашение к нему. Договор должен предусматривать возможность внесения изменений в процессе выполнения работ. Сроки не определены. Также требуется консультация по выбору оптимальной формы договора. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

10. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Необходима консультация по вопросам включения логотипа в устав организации и защите прав на персонажа, слоган и изображение. Требуется анализ действующего устава и нормативной базы, а также рекомендации по защите интеллектуальной собственности. Ответ должен быть письменным. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

11. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Проверьте договор с организацией по реализации продукции и помогите адаптировать его под условия НКО, которая не может вести коммерческую деятельность. Ситуация: договор содержит формулировки, которые противоречат уставным целям организации. Нужно найти способ сотрудничества, не нарушая устава. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

12. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — помощь в получении письменного юридического ответа на вопросы, связанные с правами онкопациентов, включая вопросы по инвалидности и пенсионным выплатам. Ответ должен быть понятен и полезен для подопечных. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

13. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Необходима помощь в составлении договора с партнёром по адаптации онлайн-курса и подготовке юридической документации для нового сайта. Договор должен учитывать особенности размещения материала на двух платформах, а документы сайта должны соответствовать требованиям законодательства. Это поможет обеспечить защиту прав на адаптированный контент и привлечь больше пользователей. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

14. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — юридическая консультация по вопросам онкологического лечения и помощь в разработке стратегии взаимодействия с экспертными советами. Это поможет подопечным и повысит эффективность работы фонда. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

15. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Онкопациент находится на больничном, работодатель не платит пенсионные начисления, а также наложено списание части пенсии из-за кредитного долга. Нужно определить законность действий работодателя и кредитора, а также дать рекомендации по защите прав подопечного. Ответ должен быть письменным. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

16. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — консультация по корпоративным вопросам: какую ответственность несет директор АНО при нарушении учредителем условий доверенности, а также информация о возможных рисках при передаче НКО другому руководителю и переименовании организации. Ответ должен быть письменным, желательно с возможностью созвона. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

17. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — получить юридическое заключение по возможности оказания услуг по отлову животных вне госконтрактов и составить публичную оферту для сбора пожертвований. Оба задания связаны с обеспечением законности деятельности НКО и защитой прав подопечных. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

18. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — юридическая консультация по вопросам выдачи призов участникам экопроекта и процедуре внесения новых учредителей в фонд. Важно оценить юридические риски и дать рекомендации по оформлению документов. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

19. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Фонд оказывает помощь детям-сиротам, которые переезжают в другие регионы для получения образования. Возникли вопросы по предоставлению льгот на ЖКХ для инвалидов и праву на временное жилье. Необходима консультация по актуальным законодательным актам, которые регулируют эти вопросы, а также рекомендации по защите прав подопечных в разных субъектах РФ. Важно получить информацию, которая поможет системно решать подобные ситуации и избежать нарушений. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно.

20. Некоммерческой организации требуется специалист по юридическим вопросам. Задача — Подготовить пакет документов для установки ящиков пожертвований и создать пользовательское соглашение для сайта. Документы должны быть составлены с нуля и соответствовать требованиям законодательства. Соглашение должно регулировать отношения с пользователями сайта благотворительного фонда. Ожидаемый результат — подготовленный юридический документ. Формат работы: дистанционно."
2,"1. Некоммерческой организации требуется специалист по маркетингу и коммуникациям. Задача — расшифровать две аудиозаписи интервью, каждая из которых длится около 25 минут. В работе требуется исключить вводную и заключительную части. Результаты помогут в продвижении миссии по популяризации женщин в науке. В качестве благодарности волонтер получит благодарственное письмо. Ожидаемый результат — план маркетинговых коммуникаций. Формат работы: дистанционно.

2. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — расшифровать аудиозапись видеоурока и интервью. Оба задания связаны с обработкой аудио- и видеоматериалов, что поможет в дальнейшем использовать информацию для образовательных и информационных целей. Необходимо точно передать содержание и оформить результат в виде текстовых документов. Ожидаемый результат — готовый текст. Формат работы: дистанционно.

3. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — выполнить транскрибацию видеоматериалов, включая видеопрезентации и аудиозаписи прямых эфиров, с последующим рерайтом текста. Материалы связаны с медицинской тематикой и образовательными курсами. Требуется опыт в транскрибации и работа с медицинскими терминами. Ожидаемый результат — готовый текст. Формат работы: дистанционно.

4. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — смонтировать видеоролик из интервью и создать обучающее видео экрана. Первый ролик будет использоваться для продвижения, второй — для обучения партнеров. Оба задания требуют внимательного подхода к редактированию и точного следования инструкциям. Ожидаемый результат — отредактированный текст. Формат работы: дистанционно.

5. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — выполнить точную транскрипцию и литературную редактуру аудио- или видеоматериала, связанного с культурной или научной тематикой. Материал содержит прямую речь, которую необходимо отредактировать, убрав лишние слова и сохранив смысл. В случае указания имени участницы, она должна быть включена в текст. Результат будет использоваться для публикации на сайте, чтобы сделать информацию доступной для более широкой аудитории. Ожидаемый результат — готовый текст. Формат работы: дистанционно.

6. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — расшифровать аудио/видео материалы, связанные с образовательными и культурными темами. Задача включает в себя точную транскрибацию и редактуру текста, чтобы он соответствовал литературным нормам. Результат будет использоваться для публикации на сайте и популяризации мнений экспертов. Дополнительно предоставляется благодарность или бонус в виде доступа к культурным мероприятиям. Ожидаемый результат — готовый текст. Формат работы: дистанционно.

7. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — выполнить транскрипцию аудиозаписи интервью с человеком, пережившим трудную жизненную ситуацию, и провести корректорскую вычитку полученного текста. Результат должен быть готов к публикации в социальных сетях организации. Требуется точность в передаче речи и знание правил русского языка. Работа поможет привлечь внимание к реальным историям и мифам, связанным с проблемой. Завершение. Ожидаемый результат — вычитанный текст. Формат работы: дистанционно.

8. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — Подведение итогов онлайн-мероприятия и транскрибация аудиозаписи. Необходимо обработать результаты и подготовить текстовую расшифровку лекции. Результаты помогут повысить вовлеченность участников и поддержать образовательные цели. Ожидаемый результат — готовый текст. Формат работы: дистанционно.

9. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — Расшифровка аудио и интервью для дальнейшего использования в образовательных материалах. Задача включает транскрипцию и, при необходимости, рерайт. Работа ведётся дистанционно. Ожидаемый результат — отредактированный текст. Формат работы: дистанционно.

10. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — Необходима помощь в расшифровке двух аудиофрагментов: 9-минутного вебинара по теме социализации животных и 17-минутной экскурсии по выставке. В первом случае требуется точная транскрипция, во втором — редактура прямой речи в литературный стиль. Материалы помогут в работе с усыновителями и экскурсоводами. В качестве бонуса — бесплатные проходы на выставку. Ожидаемый результат — отредактированный текст. Формат работы: дистанционно.

11. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — помощь с расшифровкой аудиозаписей образовательного контента. Объём: от 30 до 80 минут. Необходимо выполнить транскрибацию слово в слово или максимально близко к оригиналу, с возможностью рерайта. Работа выполняется онлайн. Ожидаемый результат — работающее программное решение. Формат работы: дистанционно.

12. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — расшифровать аудиозапись интервью или экскурсии. Задача включает транскрибацию аудио в текст, без необходимости дополнительного анализа. Результат будет использоваться для внутреннего обучения или популяризации деятельности. Время выполнения — около 30 минут. Дополнительно предоставляется бонус в виде благодарности или доступа к мероприятию. Ожидаемый результат — готовый текст. Формат работы: дистанционно.

13. Некоммерческой организации требуется специалист по аналитике и исследованиям. Задача — расшифровать два аудиоинтервью, каждое из которых длится около 40 минут. Необходимо исключить вводную и заключительную части, оставить только вопросы и ответы. Задача поможет в продвижении идей, связанных с популяризацией женщин в науке. В качестве благодарности предлагается благодарственное письмо. Ожидаемый результат — аналитический отчёт. Формат работы: дистанционно.

14. Некоммерческой организации требуется специалист по аналитике и исследованиям. Задача — расшифровать интервью научной тематики. Объём: от 30 до 50 минут. Необходимо начать с вопросов, без вводной и заключительной частей. Работа выполняется онлайн. Ожидаемый результат — аналитический отчёт. Формат работы: дистанционно.

15. Некоммерческой организации требуется специалист по маркетингу и коммуникациям. Задача — Помогите расшифровать два аудиоинтервью, одно из которых длится 25 минут, а второе — 33 минуты. Важно сохранить точность и использовать имя Марина Сидоренко в первом случае. Оба материала помогут в продвижении идей, связанных с поддержкой женщин в науке. В качестве благодарности — благодарственные письма. Ожидаемый результат — план маркетинговых коммуникаций. Формат работы: дистанционно.

16. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — Расшифровать интервью и аудио, начиная с вопросов, без вводной и заключительной частей. Результат должен быть редактирован и сохранен в текстовом виде. Время материала: минут. Важно сохранить смысл, несмотря на возможные звуковые помехи. Ожидаемый результат — готовый текст. Формат работы: дистанционно.

17. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — расшифровать два аудио- или видеоматериала: интервью и урок. Один из них длится 39 минут, другой — 25 минут. В результате должны быть предоставлены чистые тексты, без лишних вводных частей. Это поможет в дальнейшей обработке информации и популяризации проекта. Ожидаемый результат — готовый текст. Формат работы: дистанционно.

18. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — Помогите расшифровать интервью с представителями фонда. Необходимо выполнить транскрибацию аудиозаписей, а затем отредактировать текст так, чтобы он был максимально близок к оригиналу. Интервью в формате m4a, длительность одного интервью — до 60 минут. Результаты будут использоваться для создания материалов в соцсетях и СМИ. Задание можно выполнять удаленно. В качестве благодарности возможны благодарственные письма или упоминание в соцсетях. Ожидаемый результат — готовый текст. Формат работы: дистанционно.

19. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — Расшифровать два интервью с женщинами, участвующими в научных инициативах. Требуется текст без вводной и заключительной частей, с указанием имен участников. Результат поможет популяризировать роль женщин в науке. Ожидаемый результат — готовый текст. Формат работы: дистанционно.

20. Некоммерческой организации требуется специалист по подготовке и редактированию текстов. Задача — помощь в редактировании текста статьи и расшифровке аудиозаписей интервью. Оба задания направлены на улучшение коммуникации и сбор информации для дальнейшей работы с подопечными. Объём текста: 3 страницы А4. Общий аудиоматериал: минут. Работа ведётся онлайн. Важно сохранить точность и профессиональный стиль. Дополнительно: благодарности и упоминание волонтёра. Ожидаемый результат — готовый текст. Формат работы: дистанционно."
3,"1. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — создать программу обучения детей с ОВЗ правильной постановке руки и письму, а также разработать электронный ресурс по финансовой грамотности для той же целевой группы. Оба формата должны быть доступными и включать интерактивные элементы. Важно учесть особенности восприятия и обучаемости детей с ОВЗ. Ожидается методическая разработка и электронный контент. Ожидаемый результат — работающее программное решение. Формат работы: дистанционно.

2. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — создать сайт на платформе Tilda с возможностью сбора пожертвований, а также добавить раздел с кейсами. Сайт должен быть удобным и информативным для пользователей, чтобы повысить прозрачность и доступность помощи. Домен и хостинг уже доступны. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

3. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Настройка и оптимизация веб-платформы и почтовой системы. Требуется настроить визуал и процессы на LMS-платформе, а также подтвердить домен почты на Яндексе для автоматизации внутренних коммуникаций. Задача направлена на улучшение пользовательского опыта и структурирования работы. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

4. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Настройка интерфейса пожертвований на сайте НКО. Требуется интеграция платежной системы CloudPayments на платформу Tilda/WP, а также настройка автоматических благодарственных писем после оплаты. Платформа сайта: Tilda/WP. Платежная система: CloudPayments. Требуется текст благодарности. Письмо должно содержать информацию о том, как пожертвования используются. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

5. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — изменить шрифт на нескольких сайтах фонда и создать лендинг для благотворительной акции. Все сайты находятся на платформе Тильда. Важно сохранить текущую верстку при смене шрифта. Также требуется разработать лендинг с готовым дизайном, который будет использоваться для сбора пожертвований. Как это поможет: Улучшение пользовательского опыта и повышение эффективности сбора средств. Дополнительно: Возможен бонус в виде благодарственного письма. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

6. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Провести комплексный аудит сайта, включая тестирование функционала и верстки для десктопа и мобильных устройств, а также SEO-оптимизацию для повышения видимости в поисковиках. Сайт содержит карту и форму оплаты. Необходимо проверить корректность отображения и работу всех элементов, а также оптимизировать контент под ключевые слова. Результатом должно быть подробное описание найденных проблем и рекомендации по их устранению. Ожидаемый результат — отчёт об аудите сайта. Формат работы: дистанционно.

7. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Настройка платежной системы на сайте с возможностью пожертвований от физических лиц. Требуется подключить несколько платежных систем, включая CloudPayments и QR-код. Необходимо создать текст для страницы пожертвований и настроить автоматическое благодарственное письмо после оплаты. Платформа сайта: Tilda или InSales. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

8. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — ментор с опытом разработки программ и стратегического развития НКО для помощи в структурировании идей и выстраивании плана реализации. Важно определить приоритетные направления, такие как инклюзивный спорт, трудоустройство и психологическая поддержка, и создать системный подход к помощи подопечным. Необходимо также найти новые сегменты для расширения деятельности фонда. Результат должен быть согласован с местными властями и позволять ускорить достижение целей. Ожидаемый результат — работающее программное решение. Формат работы: дистанционно.

9. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Провести комплексный аудит сайта, включая тестирование функционала, удобства интерфейса и верстки. Отчет должен содержать рекомендации по улучшению пользовательского опыта и работоспособности сайта. Это поможет организации привлекать больше внимания к своей деятельности и подопечным. Ожидаемый результат — отчёт об аудите сайта. Формат работы: дистанционно.

10. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Организация столкнулась с проблемой устаревшего сайта, размещённого на поддомене, не принадлежащем юридическому лицу. Хостинг также оформлен на физическое лицо. Необходимо перейти на новую платформу с отечественным хостингом и новым доменом, оформленным на юридическое лицо. Важно сохранить трафик с старого сайта и обеспечить его переход на новый. Требуется консультация по выбору отечественной CMS и настройке переадресации. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

11. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Помогите обновить сайт благотворительного проекта, добавив участников и исправив структуру контента. Также требуется добавить страницу Команда и видеоотзывы. Сайт на WordPress. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

12. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — провести полную очистку и переустановку операционной системы на рабочем компьютере фонда, а также перенести данные сайта в новую учетную запись на хостинг-провайдере. Важно сохранить все данные без потерь и настроить систему для дальнейшей работы. Ожидается, что компьютер будет готов к использованию, а сайт — доступен в новом ЛК. Поддержка в процессе переноса обязательна. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

13. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — создать лендинг для акции и разработать веб-сервис для управления задачами. Лендинг должен быть на Tilda с живыми историями и простым путь к действию. Веб-сервис — на основе готового макета, с акцентом на юзабилити и адаптивность. Оба проекта помогут увеличить конверсию и эффективность мероприятий. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

14. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — помощь в улучшении онлайн-присутствия организации. Планируется провести SEO-аудит текущего сайта и подготовить техническое задание для нового сайта. Важно определить целевую аудиторию, цели и задачи, а также дать рекомендации по улучшению индексации и привлечению доноров. Ожидаемый результат — отчёт об аудите сайта. Формат работы: дистанционно.

15. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Провести аудит сайта и предложить SEO-оптимизацию. Сайт уже содержит аналитику, но его позиции в поисковой выдаче требуют улучшения. Необходимо оценить текущее состояние сайта, выявить проблемы и дать рекомендации по улучшению видимости в поисковиках. Ожидаемый результат — отчёт об аудите сайта. Формат работы: дистанционно.

16. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Фонд разрабатывает сайт для управления волонтерскими поездками и хочет добавить краткое описание деятельности фонда на главной странице. Требуется создать текст для сайта и интегрировать его в админку, где будет отображаться информация о предстоящих поездках. Также необходима функциональная часть для регистрации волонтеров и управления поездками. Требуется разработка интерфейса и синхронизация с базой данных. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

17. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Создание подробной инструкции по оформлению волонтеров, включая иностранных граждан, для работы с детьми. Требуется разработать должностную инструкцию для координатора программы трудоустройства и пошаговую инструкцию по приему и оформлению волонтеров. Ожидаемый результат — работающее программное решение. Формат работы: дистанционно.

18. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — создать корпоративную почту и обновить структуру сайта фонда. Это повысит профессиональный имидж и обеспечит надежную коммуникацию. Требуется опыт в настройке почты и работе с WordPress. Ожидаемый результат — готовый сайт. Формат работы: дистанционно.

19. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — Разработать Telegram-бота для ежедневных отчетов по уходу за подопечными и настроить его сценарии на сайте. Бот должен позволять родственникам выбирать подопечного и получать отчеты с фото. Интеграция с системой управления обязательна. Это поможет повысить доверие к организации и оперативно обрабатывать обращения. Ожидаемый результат — работающее программное решение. Формат работы: дистанционно.

20. Некоммерческой организации требуется специалист по IT и цифровым решениям. Задача — создать одностраничный лендинг новогодней акции и сайт-визитку фонда, ориентированные на сбор пожертвований. Оба проекта должны быть адаптированы под мобильные устройства и включать элементы, мотивирующие пользователей на участие. Визуальная концепция лендинга может включать символику праздника, а сайт фонда — меню с разделами о деятельности и возможностью пожертвований. Ожидаемый результат — готовый сайт. Формат работы: дистанционно."
